RowsFunctions,GPU,CPU
(1000000:1000),38.895,19.872
(1500000:1000),42.89,36.095
(1800000:1000),42.686,42.095
(2000000:1000),41.112,46.770
(3000000:1000),42.981,68.424
(4000000:1000),43.627,101.630
(5000000:1000),42.137,124.090
(6000000:1000),47.160,164.056
(7000000:1000),47.629,188.512
(10000000:1000),49.571,277.953

(1000000:750),34.191,15.858
(1800000:750),35.599,31.353
(2000000:750),34.007,33.126
(2100000:750),34.058,35.473
(2500000:750),35.907,42.479
(3000000:750),36.092,48.649
(5000000:750),38.871,99.195

(1000000:500),20.436,10.702
(1500000:500),19.947,16.668
(1800000:500),21.253,20.157
(2000000:500),21.417,23.003
(2100000:500),21.402,24.037
(2500000:500),21.871,28.039
(3000000:500),21.783,35.877
(5000000:500),22.287,66.094

(1000000:250),8.973,5.482
(1500000:250),9.354,9.726
(1800000:250),9.850,10.109
(2000000:250),9.623,12.673
(2100000:250),9.854,12.923
(2500000:250),9.726,13.344
(3000000:250),9.838,21.244
(5000000:250),10.949,37.414
